File,Question No,Title
01.vb,Question 3,Explain a program structure of a VB.NET program
02.vb,Question 4,Explain the data types in VB.NET with a help of a program
03.vb,Question 5,Explain the type conversion functions in VB.NET
04.vb,Question 6,WAP of Arithmetic Operators in VB.NET
05.vb,Question 7,WAP of Comparison Operators in VB.NET
06.vb,Question 8,WAP of Logical / Bitwise Operators in VB.NET
07.vb,Question 9,WAP of Bit Shift Operators in VB.NET
08.vb,Question 10,WAP of Assignment Operators in VB.NET
09.vb,Question 11,WAP of Concatenation Operators in VB.NET
10.vb,Question 12,Explain the IF THEN statement used in VB.NET
11.vb,Question 13,Explain the IF THEN ELSE statement used in VB.NET
12.vb,Question 14,Explain the Nested IF statement used in VB.NET
13.vb,Question 15,Explain the SELECT CASE statement used in VB.NET
14.vb,Question 16,Explain the Nested Select Case statements used in VB.NET
15.vb,Question 17,Explain the DO LOOP statement used in VB.NET
16.vb,Question 18,Explain the FOR NEXT LOOP statement used in VB.NET
17.vb,Question 19,Explain the FOR EACH NEXT statement used in VB.NET
18.vb,Question 20,Explain the WHILE loop statement used in VB.NET
19.vb,Question 21,Explain the WITH END WITH statement used in VB.NET
20.vb,Question 22,Explain the NESTED LOOP statement used in VB.NET
21.vb,Question 23,What are arrays in VB.NET explain the type of arrays
22.vb,Question 24,What are dynamic arrays insert a new element at a specified position
23.vb,Question 25,What are subprocessor Difference between passing parameter by value and by reference
24.vb,Question 26,Windows Form application with welcome and confirmation on close
25.vb,Question 27,Two forms navigation
26.vb,Question 28,Three forms navigation
27.vb,Question 29,Login Form using TextBoxes
28.vb,Question 30,Student details form
29.vb,Question 31,Calculator using TextBoxes and Buttons
30.vb,Question 32,ListBox add remove clear
31.vb,Question 33,ComboBox colors to ListBox
32.vb,Question 34,ComboBox programming languages to Label
33.vb,Question 35,CheckBoxes hobbies
34.vb,Question 36,RadioButtons gender
35.vb,Question 37,PictureBox load image
36.vb,Question 38,CheckBoxes Bold Italic Underline
37.vb,Question 39,RadioButtons select color
38.vb,Question 40,Previous and Next buttons to display images
39.vb,Question 41,Employee details summary
40.vb,Question 42,Marks total percentage grade
